Country Name,Country Code,Indicator Name,Indicator Code,2017
Aruba,ABW,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.01
Afghanistan,AFG,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.13
Angola,AGO,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.379
Albania,ALB,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.333
Andorra,AND,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Arab World,ARB,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.62252633
United Arab Emirates,ARE,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.647
Argentina,ARG,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.372
Armenia,ARM,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.797
American Samoa,ASM,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Antigua and Barbuda,ATG,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.752
Australia,AUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.49756098
Austria,AUT,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.64146341
Azerbaijan,AZE,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.693
Burundi,BDI,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.898
Belgium,BEL,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.43902439
Benin,BEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.174
Burkina Faso,BFA,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.768
Bangladesh,BGD,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.052
Bulgaria,BGR,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.81219512
Bahrain,BHR,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.032
Bahamas The,BHS,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.554
Bosnia and Herzegovina,BIH,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.128
Belarus,BLR,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.12926829
Belize,BLZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.365
Bermuda,BMU,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.44195122
Bolivia,BOL,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.945
Brazil,BRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.456
Barbados,BRB,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.981
Brunei Darussalam,BRN,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.585
Bhutan,BTN,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.129
Botswana,BWA,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.812
Central African Republic,CAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,52.24
Canada,CAN,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.24897561
Central Europe and the Baltics,CEB,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.03396591
Switzerland,CHE,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.60243902
Channel Islands,CHI,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.766
Chile,CHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.909
China,CHN,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.47
Cote d'Ivoire,CIV,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.017
Cameroon,CMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.511
Congo Dem. Rep.,COD,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.026
Congo Rep.,COG,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.954
Colombia,COL,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.925
Comoros,COM,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.912
Cabo Verde,CPV,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.57
Costa Rica,CRI,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.914
Caribbean small states,CSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.51749249
Cuba,CUB,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.662
Curacao,CUW,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.01707317
Cayman Islands,CYM,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Cyprus,CYP,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.672
Czech Republic,CZE,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.47560976
Germany,DEU,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.9902439
Djibouti,DJI,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.893
Dominica,DMA,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Denmark,DNK,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.00487805
Dominican Republic,DOM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.689
Algeria,DZA,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.499
East Asia & Pacific (excluding high income),EAP,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.9949516
Early-demographic dividend,EAR,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.2552611
East Asia & Pacific,EAS,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.86574762
Europe & Central Asia (excluding high income),ECA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.39917233
Europe & Central Asia,ECS,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.74469037
Ecuador,ECU,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.584
Egypt Arab Rep.,EGY,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.656
Euro area,EMU,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.95073042
Eritrea,ERI,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.538
Spain,ESP,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.32926829
Estonia,EST,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.64146341
Ethiopia,ETH,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.872
European Union,EUU,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.99115581
Fragile and conflict affected situations,FCS,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.15109546
Finland,FIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.42926829
Fiji,FJI,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.252
France,FRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.52439024
Faroe Islands,FRO,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.4
Micronesia Fed. Sts.,FSM,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.618
Gabon,GAB,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.839
United Kingdom,GBR,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.15609756
Georgia,GEO,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.414
Ghana,GHA,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.463
Gibraltar,GIB,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Guinea,GIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.706
Gambia The,GMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.44
Guinea-Bissau,GNB,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.673
Equatorial Guinea,GNQ,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.061
Greece,GRC,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.38780488
Grenada,GRD,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.388
Greenland,GRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Guatemala,GTM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.81
Guam,GUM,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.631
